ID,Command,Log File,Result,All Detected Rules
19,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d| /bin/b""ash""'",Linux_Base64_Encoded_Pipe_to_Shell_attack19.log,Bypass All,None
20,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | ba\se64 -d | /bin/sh'",Linux_Base64_Encoded_Pipe_to_Shell_attack20.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
21,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg==""|b""a""se64 -d|bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack21.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
22,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | ba""s""e64 -d | bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack22.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
23,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg==""|bas""""e64 -d|bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack23.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
24,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | ba''se64 -d | bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack24.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
25,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | b\a\se64 -d | bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack25.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
26,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg==""| base64 -d | b\a\sh'",Linux_Base64_Encoded_Pipe_to_Shell_attack26.log,Bypass All,None
27,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | ba""s""h'",Linux_Base64_Encoded_Pipe_to_Shell_attack27.log,Bypass All,None
28,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg==""| base64 -d | ba''sh'",Linux_Base64_Encoded_Pipe_to_Shell_attack28.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
29,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | b""""ash'",Linux_Base64_Encoded_Pipe_to_Shell_attack29.log,Bypass All,None
30,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg==""|base64 -d|/bin/ba\sh'",Linux_Base64_Encoded_Pipe_to_Shell_attack30.log,Bypass All,None
31,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | /bin/b""a""sh'",Linux_Base64_Encoded_Pipe_to_Shell_attack31.log,Bypass All,None
32,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg==""| base64 -d | /bin//ba""""sh'",Linux_Base64_Encoded_Pipe_to_Shell_attack32.log,Bypass All,None
33,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | /bin/./ba\sh'",Linux_Base64_Encoded_Pipe_to_Shell_attack33.log,Bypass All,None
34,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | ba""""s""""e64 -d | bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack34.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
35,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg==""|base6""""4 -d|bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack35.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
36,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | ba\se\64 -d | bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack36.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
37,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg==""|base\64 -d|bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack37.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
38,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | b\as\h'",Linux_Base64_Encoded_Pipe_to_Shell_attack38.log,Bypass All,None
39,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | ba""""s""""h'",Linux_Base64_Encoded_Pipe_to_Shell_attack39.log,Bypass All,None
40,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg==""|base64 -d|/bin/b\a\s\h'",Linux_Base64_Encoded_Pipe_to_Shell_attack40.log,Bypass All,None
41,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | /bin/b""""a""""sh'",Linux_Base64_Encoded_Pipe_to_Shell_attack41.log,Bypass All,None
42,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack42.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
43,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | ba""sh""'",Linux_Base64_Encoded_Pipe_to_Shell_attack43.log,Bypass All,None
44,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | b\ash'",Linux_Base64_Encoded_Pipe_to_Shell_attack44.log,Bypass All,None
45,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | b''ash'",Linux_Base64_Encoded_Pipe_to_Shell_attack45.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
46,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | b""a""""sh""'",Linux_Base64_Encoded_Pipe_to_Shell_attack46.log,Bypass All,None
47,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | /bin/./bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack47.log,Bypass All,None
48,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | /bin//bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack48.log,Bypass All,None
49,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack49.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
50,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack50.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
51,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack51.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
52,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | ""base64"" -d | bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack52.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
53,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | bas""e64"" -d | bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack53.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
54,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | ba""se""64 -d | bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack54.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
55,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | b\ase64 -d | bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack55.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
56,"/bin/bash -c 'ec""""ho ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack56.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
57,"/bin/bash -c 'ec\ho ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack57.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
58,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg==""|base64 -d|bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack58.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
59,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | b''a''s''e64 -d | ba''sh'",Linux_Base64_Encoded_Pipe_to_Shell_attack59.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
60,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | ""bash""'",Linux_Base64_Encoded_Pipe_to_Shell_attack60.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
61,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | (base64 -d) | (bash)'",Linux_Base64_Encoded_Pipe_to_Shell_attack61.log,Bypass All,None
62,"/bin/bash -c ""echo 'ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg==' | base64 -d | bash""",Linux_Base64_Encoded_Pipe_to_Shell_attack62.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
63,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | b''as''e64 -d | b''ash'",Linux_Base64_Encoded_Pipe_to_Shell_attack63.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
64,/bin/bash -c 'echo ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg== | base64 -d | bash',Linux_Base64_Encoded_Pipe_to_Shell_attack64.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
65,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | b\a\s\e\64 -d | b\a\s\h'",Linux_Base64_Encoded_Pipe_to_Shell_attack65.log,Bypass All,None
66,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | /usr/bin/""bash""'",Linux_Base64_Encoded_Pipe_to_Shell_attack66.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
67,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | /usr/bin/base64 -d | /bin/ba""sh""'",Linux_Base64_Encoded_Pipe_to_Shell_attack67.log,Bypass All,None
68,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | sh'""''""",Linux_Base64_Encoded_Pipe_to_Shell_attack68.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
69,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | ba\se64 -d | b\ash'",Linux_Base64_Encoded_Pipe_to_Shell_attack69.log,Bypass All,None
70,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | ba""""se64 -d | ba""""sh'",Linux_Base64_Encoded_Pipe_to_Shell_attack70.log,Bypass All,None
71,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | \base64 -d | \bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack71.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
72,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | b""a""""se64"" -d | b""a""""sh""'",Linux_Base64_Encoded_Pipe_to_Shell_attack72.log,Bypass All,None
73,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | b''a''se64 -d | b''a''sh'",Linux_Base64_Encoded_Pipe_to_Shell_attack73.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
74,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | $(which base64) -d | $(which bash)'",Linux_Base64_Encoded_Pipe_to_Shell_attack74.log,Bypass All,None
75,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | $(echo base64) -d | $(echo bash)'",Linux_Base64_Encoded_Pipe_to_Shell_attack75.log,Bypass All,None
76,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64${IFS}-d | bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack76.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
77,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64${IFS}${IFS}-d | bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack77.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
78,"/bin/bash -c ""echo 'ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg==' | base64 -d | bash""",Linux_Base64_Encoded_Pipe_to_Shell_attack78.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
79,"/bin/bash -c ""echo ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg== | base64 -d | bash""",Linux_Base64_Encoded_Pipe_to_Shell_attack79.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
80,"/bin/bash -c ""echo ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg== | /bin/base64 -d | /bin/bash""",Linux_Base64_Encoded_Pipe_to_Shell_attack80.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
81,"/bin/bash -c ""e""""cho ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg== | ba""""se64 -d | ba""""sh""",Linux_Base64_Encoded_Pipe_to_Shell_attack81.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
82,"/bin/bash -c 'e\cho ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | b\ase64 -d | b\ash'",Linux_Base64_Encoded_Pipe_to_Shell_attack82.log,Bypass All,None
83,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack83.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
84,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d |ba""sh""'",Linux_Base64_Encoded_Pipe_to_Shell_attack84.log,Bypass All,None
85,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d |/bin/ba\sh'",Linux_Base64_Encoded_Pipe_to_Shell_attack85.log,Bypass All,None
86,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d |/bin//bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack86.log,Bypass All,None
87,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d |/bin/./bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack87.log,Bypass All,None
88,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | ""base64"" -d | bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack88.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
89,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | b\a\s\e64 -d | bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack89.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
90,"/bin/bash -c 'ec""""ho ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack90.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
91,"/bin/bash -c ""echo 'ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg==' | base64 -d | bash""",Linux_Base64_Encoded_Pipe_to_Shell_attack91.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
92,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d|b''ash'",Linux_Base64_Encoded_Pipe_to_Shell_attack92.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
93,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg==""|base64 -d|ba\sh'",Linux_Base64_Encoded_Pipe_to_Shell_attack93.log,Bypass All,None
94,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg==""|base64 -d|sh'",Linux_Base64_Encoded_Pipe_to_Shell_attack94.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
