ID,Command,Log File,Result,All Detected Rules
53,/usr/bin/dd if=/dev/zero bs=1M count=5 > /tmp/confidential.dat count=1 bs=1024,DD_File_Overwrite_attack53.log,Bypass Target Rule,Execution Of Script Located In Potentially Suspicious Directory | Syslog Clearing or Removal Via System Utilities
54,/usr/bin/dd of=/tmp/confidential.dat count=1 bs=1024 if=/dev/zero,DD_File_Overwrite_attack54.log,Trigger: DD File Overwrite,Execution Of Script Located In Potentially Suspicious Directory | DD File Overwrite | Syslog Clearing or Removal Via System Utilities
55,dd of=/tmp/confidential.dat count=1 bs=1024 if=/dev/zero,DD_File_Overwrite_attack55.log,Trigger: DD File Overwrite,Execution Of Script Located In Potentially Suspicious Directory | DD File Overwrite | Syslog Clearing or Removal Via System Utilities
56,dd if=/dev/zero of=/tmp/confidential.dat count=1 bs=1024,DD_File_Overwrite_attack56.log,Trigger: DD File Overwrite,Execution Of Script Located In Potentially Suspicious Directory | DD File Overwrite | Syslog Clearing or Removal Via System Utilities
57,dd of=/tmp/confidential.dat count=1 bs=1024 if=/dev/zero bs=1M,DD_File_Overwrite_attack57.log,Trigger: DD File Overwrite,Execution Of Script Located In Potentially Suspicious Directory | DD File Overwrite | Syslog Clearing or Removal Via System Utilities
58,dd bs=1M of=/tmp/confidential.dat count=1 bs=1024 if=/dev/zero,DD_File_Overwrite_attack58.log,Trigger: DD File Overwrite,Execution Of Script Located In Potentially Suspicious Directory | DD File Overwrite | Syslog Clearing or Removal Via System Utilities
59,dd if=/dev/zero bs=1M of=/tmp/confidential.dat count=1 bs=1024,DD_File_Overwrite_attack59.log,Trigger: DD File Overwrite,Execution Of Script Located In Potentially Suspicious Directory | DD File Overwrite | Syslog Clearing or Removal Via System Utilities
60,/usr/bin/dd bs=512 if=/dev/zero of=/tmp/confidential.dat count=1 bs=1024,DD_File_Overwrite_attack60.log,Trigger: DD File Overwrite,Execution Of Script Located In Potentially Suspicious Directory | DD File Overwrite | Syslog Clearing or Removal Via System Utilities
61,/usr/bin/dd of=/tmp/confidential.dat count=1 bs=1024 bs=512 if=/dev/zero,DD_File_Overwrite_attack61.log,Trigger: DD File Overwrite,Execution Of Script Located In Potentially Suspicious Directory | DD File Overwrite | Syslog Clearing or Removal Via System Utilities
62,dd count=1000 if=/dev/zero of=/tmp/confidential.dat count=1 bs=1024,DD_File_Overwrite_attack62.log,Trigger: DD File Overwrite,Execution Of Script Located In Potentially Suspicious Directory | DD File Overwrite | Syslog Clearing or Removal Via System Utilities
63,dd if=/dev/zero count=1000 of=/tmp/confidential.dat count=1 bs=1024,DD_File_Overwrite_attack63.log,Trigger: DD File Overwrite,Execution Of Script Located In Potentially Suspicious Directory | DD File Overwrite | Syslog Clearing or Removal Via System Utilities
64,dd of=/tmp/confidential.dat count=1 bs=1024 count=1000 if=/dev/zero,DD_File_Overwrite_attack64.log,Trigger: DD File Overwrite,Execution Of Script Located In Potentially Suspicious Directory | DD File Overwrite | Syslog Clearing or Removal Via System Utilities
65,/usr/bin/dd of=/tmp/confidential.dat count=1 bs=1024 if=/dev/zero count=1000,DD_File_Overwrite_attack65.log,Trigger: DD File Overwrite,Execution Of Script Located In Potentially Suspicious Directory | DD File Overwrite | Syslog Clearing or Removal Via System Utilities
66,/usr/bin/dd count=1000 of=/tmp/confidential.dat count=1 bs=1024 if=/dev/zero,DD_File_Overwrite_attack66.log,Trigger: DD File Overwrite,Execution Of Script Located In Potentially Suspicious Directory | DD File Overwrite | Syslog Clearing or Removal Via System Utilities
67,dd if=/dev/zero of=/tmp/confidential.dat count=1 bs=1024 conv=notrunc,DD_File_Overwrite_attack67.log,Trigger: DD File Overwrite,Execution Of Script Located In Potentially Suspicious Directory | DD File Overwrite | Syslog Clearing or Removal Via System Utilities
68,dd of=/tmp/confidential.dat count=1 bs=1024 conv=notrunc if=/dev/zero,DD_File_Overwrite_attack68.log,Trigger: DD File Overwrite,Execution Of Script Located In Potentially Suspicious Directory | DD File Overwrite | Syslog Clearing or Removal Via System Utilities
69,dd conv=notrunc if=/dev/zero of=/tmp/confidential.dat count=1 bs=1024,DD_File_Overwrite_attack69.log,Trigger: DD File Overwrite,Execution Of Script Located In Potentially Suspicious Directory | DD File Overwrite | Syslog Clearing or Removal Via System Utilities
70,/usr/bin/dd conv=notrunc of=/tmp/confidential.dat count=1 bs=1024 if=/dev/zero,DD_File_Overwrite_attack70.log,Trigger: DD File Overwrite,Execution Of Script Located In Potentially Suspicious Directory | DD File Overwrite | Syslog Clearing or Removal Via System Utilities
71,/usr/bin/dd if=/dev/zero conv=notrunc of=/tmp/confidential.dat count=1 bs=1024,DD_File_Overwrite_attack71.log,Trigger: DD File Overwrite,Execution Of Script Located In Potentially Suspicious Directory | DD File Overwrite | Syslog Clearing or Removal Via System Utilities
72,dd bs=1024 if=/dev/zero of=/tmp/confidential.dat count=1 bs=1024 count=1,DD_File_Overwrite_attack72.log,Trigger: DD File Overwrite,Execution Of Script Located In Potentially Suspicious Directory | DD File Overwrite | Syslog Clearing or Removal Via System Utilities
73,dd count=1 bs=1024 if=/dev/zero of=/tmp/confidential.dat count=1 bs=1024,DD_File_Overwrite_attack73.log,Trigger: DD File Overwrite,Execution Of Script Located In Potentially Suspicious Directory | DD File Overwrite | Syslog Clearing or Removal Via System Utilities
74,dd of=/tmp/confidential.dat count=1 bs=1024 if=/dev/zero bs=1024 count=1,DD_File_Overwrite_attack74.log,Trigger: DD File Overwrite,Execution Of Script Located In Potentially Suspicious Directory | DD File Overwrite | Syslog Clearing or Removal Via System Utilities
75,dd if=/dev/zero bs=1024 count=1 of=/tmp/confidential.dat count=1 bs=1024,DD_File_Overwrite_attack75.log,Trigger: DD File Overwrite,Execution Of Script Located In Potentially Suspicious Directory | DD File Overwrite | Syslog Clearing or Removal Via System Utilities
76,/usr/bin/dd of=/tmp/confidential.dat count=1 bs=1024 count=1 bs=1024 if=/dev/zero,DD_File_Overwrite_attack76.log,Trigger: DD File Overwrite,Execution Of Script Located In Potentially Suspicious Directory | DD File Overwrite | Syslog Clearing or Removal Via System Utilities
77,/usr/bin/dd bs=1024 count=1 if=/dev/zero of=/tmp/confidential.dat count=1 bs=1024,DD_File_Overwrite_attack77.log,Trigger: DD File Overwrite,Execution Of Script Located In Potentially Suspicious Directory | DD File Overwrite | Syslog Clearing or Removal Via System Utilities
78,/usr/bin/dd if=/dev/zero of=/tmp/confidential.dat count=1 bs=1024 status=none,DD_File_Overwrite_attack78.log,Trigger: DD File Overwrite,Execution Of Script Located In Potentially Suspicious Directory | DD File Overwrite | Syslog Clearing or Removal Via System Utilities
79,dd status=none if=/dev/zero of=/tmp/confidential.dat count=1 bs=1024,DD_File_Overwrite_attack79.log,Trigger: DD File Overwrite,Execution Of Script Located In Potentially Suspicious Directory | DD File Overwrite | Syslog Clearing or Removal Via System Utilities
80,dd of=/tmp/confidential.dat count=1 bs=1024 status=none if=/dev/zero,DD_File_Overwrite_attack80.log,Trigger: DD File Overwrite,Execution Of Script Located In Potentially Suspicious Directory | DD File Overwrite | Syslog Clearing or Removal Via System Utilities
81,dd if=/dev/zero status=none of=/tmp/confidential.dat count=1 bs=1024,DD_File_Overwrite_attack81.log,Trigger: DD File Overwrite,Execution Of Script Located In Potentially Suspicious Directory | DD File Overwrite | Syslog Clearing or Removal Via System Utilities
82,/usr/bin/dd status=none of=/tmp/confidential.dat count=1 bs=1024 if=/dev/zero,DD_File_Overwrite_attack82.log,Trigger: DD File Overwrite,Execution Of Script Located In Potentially Suspicious Directory | DD File Overwrite | Syslog Clearing or Removal Via System Utilities
83,/usr/bin/dd if=/dev/zero status=none of=/tmp/confidential.dat count=1 bs=1024 bs=1M,DD_File_Overwrite_attack83.log,Trigger: DD File Overwrite,Execution Of Script Located In Potentially Suspicious Directory | DD File Overwrite | Syslog Clearing or Removal Via System Utilities
84,dd of=/tmp/confidential.dat count=1 bs=1024 bs=1M if=/dev/zero status=progress,DD_File_Overwrite_attack84.log,Trigger: DD File Overwrite,Execution Of Script Located In Potentially Suspicious Directory | DD File Overwrite | Syslog Clearing or Removal Via System Utilities
85,/usr/bin/dd status=progress if=/dev/zero of=/tmp/confidential.dat count=1 bs=1024 bs=1M,DD_File_Overwrite_attack85.log,Trigger: DD File Overwrite,Execution Of Script Located In Potentially Suspicious Directory | DD File Overwrite | Syslog Clearing or Removal Via System Utilities
86,dd bs=1M status=progress of=/tmp/confidential.dat count=1 bs=1024 if=/dev/zero,DD_File_Overwrite_attack86.log,Trigger: DD File Overwrite,Execution Of Script Located In Potentially Suspicious Directory | DD File Overwrite | Syslog Clearing or Removal Via System Utilities
87,dd if=/dev/zero status=progress bs=1M of=/tmp/confidential.dat count=1 bs=1024,DD_File_Overwrite_attack87.log,Trigger: DD File Overwrite,Execution Of Script Located In Potentially Suspicious Directory | DD File Overwrite | Syslog Clearing or Removal Via System Utilities
88,/usr/bin/dd if=/dev/zero of=/tmp/confidential.dat count=1 bs=1024 count=2048 bs=512,DD_File_Overwrite_attack88.log,Trigger: DD File Overwrite,Execution Of Script Located In Potentially Suspicious Directory | DD File Overwrite | Syslog Clearing or Removal Via System Utilities
89,/usr/bin/dd bs=512 count=2048 of=/tmp/confidential.dat count=1 bs=1024 if=/dev/zero,DD_File_Overwrite_attack89.log,Trigger: DD File Overwrite,Execution Of Script Located In Potentially Suspicious Directory | DD File Overwrite | Syslog Clearing or Removal Via System Utilities
90,dd of=/tmp/confidential.dat count=1 bs=1024 if=/dev/zero bs=512 count=2048,DD_File_Overwrite_attack90.log,Trigger: DD File Overwrite,Execution Of Script Located In Potentially Suspicious Directory | DD File Overwrite | Syslog Clearing or Removal Via System Utilities
91,dd count=2048 of=/tmp/confidential.dat count=1 bs=1024 if=/dev/zero bs=512,DD_File_Overwrite_attack91.log,Trigger: DD File Overwrite,Execution Of Script Located In Potentially Suspicious Directory | DD File Overwrite | Syslog Clearing or Removal Via System Utilities
92,dd if=/dev/zero count=2048 bs=512 of=/tmp/confidential.dat count=1 bs=1024,DD_File_Overwrite_attack92.log,Trigger: DD File Overwrite,Execution Of Script Located In Potentially Suspicious Directory | DD File Overwrite | Syslog Clearing or Removal Via System Utilities
93,/usr/bin/dd if=/dev/zero of=/tmp/confidential.dat count=1 bs=1024 seek=0,DD_File_Overwrite_attack93.log,Trigger: DD File Overwrite,Execution Of Script Located In Potentially Suspicious Directory | DD File Overwrite | Syslog Clearing or Removal Via System Utilities
94,dd seek=0 if=/dev/zero of=/tmp/confidential.dat count=1 bs=1024,DD_File_Overwrite_attack94.log,Trigger: DD File Overwrite,Execution Of Script Located In Potentially Suspicious Directory | DD File Overwrite | Syslog Clearing or Removal Via System Utilities
95,dd of=/tmp/confidential.dat count=1 bs=1024 seek=0 if=/dev/zero,DD_File_Overwrite_attack95.log,Trigger: DD File Overwrite,Execution Of Script Located In Potentially Suspicious Directory | DD File Overwrite | Syslog Clearing or Removal Via System Utilities
96,dd if=/dev/zero of=/tmp/confidential.dat count=1 bs=1024 conv=fdatasync,DD_File_Overwrite_attack96.log,Trigger: DD File Overwrite,Execution Of Script Located In Potentially Suspicious Directory | DD File Overwrite | Syslog Clearing or Removal Via System Utilities
97,dd conv=fdatasync of=/tmp/confidential.dat count=1 bs=1024 if=/dev/zero,DD_File_Overwrite_attack97.log,Trigger: DD File Overwrite,Execution Of Script Located In Potentially Suspicious Directory | DD File Overwrite | Syslog Clearing or Removal Via System Utilities
98,dd of=/tmp/confidential.dat count=1 bs=1024 conv=fdatasync if=/dev/zero,DD_File_Overwrite_attack98.log,Trigger: DD File Overwrite,Execution Of Script Located In Potentially Suspicious Directory | DD File Overwrite | Syslog Clearing or Removal Via System Utilities
99,/usr/bin/dd conv=fdatasync if=/dev/zero of=/tmp/confidential.dat count=1 bs=1024,DD_File_Overwrite_attack99.log,Trigger: DD File Overwrite,Execution Of Script Located In Potentially Suspicious Directory | DD File Overwrite | Syslog Clearing or Removal Via System Utilities
100,dd bs=4096 count=1 if=/dev/zero of=/tmp/confidential.dat count=1 bs=1024,DD_File_Overwrite_attack100.log,Trigger: DD File Overwrite,Execution Of Script Located In Potentially Suspicious Directory | DD File Overwrite | Syslog Clearing or Removal Via System Utilities
101,dd count=1 of=/tmp/confidential.dat count=1 bs=1024 bs=4096 if=/dev/zero,DD_File_Overwrite_attack101.log,Trigger: DD File Overwrite,Execution Of Script Located In Potentially Suspicious Directory | DD File Overwrite | Syslog Clearing or Removal Via System Utilities
102,/usr/bin/dd if=/dev/zero bs=4096 of=/tmp/confidential.dat count=1 bs=1024 count=1,DD_File_Overwrite_attack102.log,Trigger: DD File Overwrite,Execution Of Script Located In Potentially Suspicious Directory | DD File Overwrite | Syslog Clearing or Removal Via System Utilities
103,dd bs=4096 of=/tmp/confidential.dat count=1 bs=1024 count=1 if=/dev/zero,DD_File_Overwrite_attack103.log,Trigger: DD File Overwrite,Execution Of Script Located In Potentially Suspicious Directory | DD File Overwrite | Syslog Clearing or Removal Via System Utilities
104,dd if=/dev/zero of=/tmp/confidential.dat count=1 bs=1024 status=progress conv=fsync,DD_File_Overwrite_attack104.log,Trigger: DD File Overwrite,Execution Of Script Located In Potentially Suspicious Directory | DD File Overwrite | Syslog Clearing or Removal Via System Utilities
105,/usr/bin/dd status=progress conv=fsync of=/tmp/confidential.dat count=1 bs=1024 if=/dev/zero,DD_File_Overwrite_attack105.log,Trigger: DD File Overwrite,Execution Of Script Located In Potentially Suspicious Directory | DD File Overwrite | Syslog Clearing or Removal Via System Utilities
106,dd conv=fsync status=progress if=/dev/zero of=/tmp/confidential.dat count=1 bs=1024,DD_File_Overwrite_attack106.log,Trigger: DD File Overwrite,Execution Of Script Located In Potentially Suspicious Directory | DD File Overwrite | Syslog Clearing or Removal Via System Utilities
107,dd of=/tmp/confidential.dat count=1 bs=1024 conv=fsync if=/dev/zero status=progress,DD_File_Overwrite_attack107.log,Trigger: DD File Overwrite,Execution Of Script Located In Potentially Suspicious Directory | DD File Overwrite | Syslog Clearing or Removal Via System Utilities
108,dd if=/dev/zero conv=fsync of=/tmp/confidential.dat count=1 bs=1024 status=progress,DD_File_Overwrite_attack108.log,Trigger: DD File Overwrite,Execution Of Script Located In Potentially Suspicious Directory | DD File Overwrite | Syslog Clearing or Removal Via System Utilities
109,/usr/bin/dd bs=2M if=/dev/zero count=10 of=/tmp/confidential.dat count=1 bs=1024,DD_File_Overwrite_attack109.log,Trigger: DD File Overwrite,Execution Of Script Located In Potentially Suspicious Directory | DD File Overwrite | Syslog Clearing or Removal Via System Utilities
110,dd count=10 bs=2M of=/tmp/confidential.dat count=1 bs=1024 if=/dev/zero,DD_File_Overwrite_attack110.log,Trigger: DD File Overwrite,Execution Of Script Located In Potentially Suspicious Directory | DD File Overwrite | Syslog Clearing or Removal Via System Utilities
111,dd of=/tmp/confidential.dat count=1 bs=1024 if=/dev/zero bs=2M count=10,DD_File_Overwrite_attack111.log,Trigger: DD File Overwrite,Execution Of Script Located In Potentially Suspicious Directory | DD File Overwrite | Syslog Clearing or Removal Via System Utilities
112,dd if=/dev/zero of=/tmp/confidential.dat count=1 bs=1024 bs=2M count=10,DD_File_Overwrite_attack112.log,Trigger: DD File Overwrite,Execution Of Script Located In Potentially Suspicious Directory | DD File Overwrite | Syslog Clearing or Removal Via System Utilities
